"Respondent_ID","Timestamp","Age_Group","Gender","Education_Level"
1,"24/11/2025 15.57.55","18 - 24","Maschio","Laurea o equivalente (area STEM)"
2,"25/11/2025 16.58.08","18 - 24","Maschio","Laurea o equivalente (area STEM)"
3,"26/11/2025 16.34.28","25 - 34","Maschio","Laurea o equivalente (area STEM)"
4,"26/11/2025 16.54.30","25 - 34","Maschio","Laurea o equivalente (area STEM)"
5,"26/11/2025 17.05.00","25 - 34","Maschio","Laurea o equivalente (area STEM)"
6,"26/11/2025 17.09.47","18 - 24","Maschio","Laurea o equivalente (area STEM)"
7,"26/11/2025 17.17.31","18 - 24","Femmina","Laurea o equivalente (area STEM)"
8,"26/11/2025 17.18.16","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
9,"26/11/2025 17.23.23","18 - 24","Maschio","Laurea o equivalente (area STEM)"
10,"26/11/2025 17.37.55","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
11,"26/11/2025 17.38.55","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
12,"26/11/2025 17.40.03","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
13,"26/11/2025 17.40.50","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
14,"26/11/2025 17.42.24","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
15,"26/11/2025 17.43.50","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
16,"26/11/2025 17.50.43","25 - 34","Maschio","Laurea o equivalente (area non STEM)"
17,"26/11/2025 17.55.18","25 - 34","Femmina","Laurea o equivalente (area non STEM)"
18,"26/11/2025 17.55.56","18 - 24","Altro","Laurea o equivalente (area STEM)"
19,"26/11/2025 17.56.48","25 - 34","Femmina","Laurea o equivalente (area STEM)"
20,"26/11/2025 18.41.21","18 - 24","Maschio","Laurea o equivalente (area STEM)"
21,"26/11/2025 18.44.42","25 - 34","Maschio","Diploma di scuola superiore"
22,"26/11/2025 19.02.05","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
23,"26/11/2025 19.09.49","18 - 24","Maschio","Laurea o equivalente (area STEM)"
24,"26/11/2025 19.16.06","25 - 34","Maschio","Diploma di scuola superiore"
25,"26/11/2025 19.30.46","18 - 24","Maschio","Diploma di scuola superiore"
26,"26/11/2025 20.15.02","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
27,"26/11/2025 20.27.40","18 - 24","Femmina","Diploma di scuola superiore"
28,"26/11/2025 20.38.24","18 - 24","Maschio","Laurea o equivalente (area STEM)"
29,"26/11/2025 21.40.11","18 - 24","Femmina","Laurea o equivalente (area STEM)"
30,"26/11/2025 21.43.27","18 - 24","Maschio","Laurea o equivalente (area STEM)"
31,"26/11/2025 22.52.48","18 - 24","Femmina","Laurea o equivalente (area STEM)"
32,"27/11/2025 8.12.25","18 - 24","Maschio","Laurea o equivalente (area STEM)"
33,"27/11/2025 10.55.17","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
34,"27/11/2025 11.04.43","18 - 24","Femmina","Laurea o equivalente (area STEM)"
35,"27/11/2025 11.06.47","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
36,"27/11/2025 11.20.54","18 - 24","Maschio","Laurea o equivalente (area STEM)"
37,"27/11/2025 11.32.25","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
38,"27/11/2025 11.36.11","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
39,"27/11/2025 11.42.49","18 - 24","Femmina","Laurea o equivalente (area STEM)"
40,"27/11/2025 11.57.14","18 - 24","Maschio","Diploma di scuola superiore"
41,"27/11/2025 12.03.00","18 - 24","Femmina","Diploma di scuola superiore"
42,"27/11/2025 12.04.36","18 - 24","Femmina","Laurea o equivalente (area STEM)"
43,"27/11/2025 12.14.19","18 - 24","Maschio","Diploma di scuola superiore"
44,"27/11/2025 13.25.09","18 - 24","Maschio","Laurea o equivalente (area STEM)"
45,"27/11/2025 14.12.50","18 - 24","Maschio","Laurea o equivalente (area STEM)"
46,"27/11/2025 14.24.39","18 - 24","Maschio","Diploma di scuola superiore"
47,"27/11/2025 16.27.40","18 - 24","Maschio","Diploma di scuola superiore"
48,"27/11/2025 16.52.54","35 - 44","Maschio","Laurea o equivalente (area STEM)"
49,"27/11/2025 17.39.36","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
50,"27/11/2025 18.51.02","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
51,"27/11/2025 21.27.51","18 - 24","Maschio","Laurea o equivalente (area STEM)"
52,"27/11/2025 21.27.55","18 - 24","Femmina","Laurea o equivalente (area STEM)"
53,"28/11/2025 9.35.10","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
54,"28/11/2025 10.42.07","25 - 34","Maschio","Diploma di scuola superiore"
55,"28/11/2025 14.12.29","18 - 24","Femmina","Diploma di scuola superiore"
56,"28/11/2025 14.18.07","25 - 34","Maschio","Laurea o equivalente (area STEM)"
57,"28/11/2025 16.38.59","55 - 64","Maschio","Diploma di scuola superiore"
58,"28/11/2025 16.40.12","45 - 54","Femmina","Laurea o equivalente (area non STEM)"
59,"28/11/2025 18.46.26","25 - 34","Maschio","Laurea o equivalente (area STEM)"
60,"29/11/2025 9.21.39","25 - 34","Maschio","Diploma di scuola superiore"
61,"29/11/2025 9.29.04","18 - 24","Maschio","Laurea o equivalente (area STEM)"
62,"29/11/2025 9.48.49","65 +","Maschio","Diploma di scuola superiore"
63,"29/11/2025 9.55.15","55 - 64","Femmina","Laurea o equivalente (area STEM)"
64,"29/11/2025 10.49.54","25 - 34","Maschio","Diploma di scuola superiore"
65,"29/11/2025 10.56.11","55 - 64","Femmina","Diploma di scuola superiore"
66,"29/11/2025 10.59.02","25 - 34","Maschio","Diploma di scuola superiore"
67,"29/11/2025 11.04.04","55 - 64","Maschio","Laurea o equivalente (area STEM)"
68,"29/11/2025 11.25.12","25 - 34","Maschio","Laurea o equivalente (area STEM)"
69,"29/11/2025 11.34.04","18 - 24","Femmina","Laurea o equivalente (area STEM)"
70,"29/11/2025 11.46.36","55 - 64","Maschio","Laurea o equivalente (area STEM)"
71,"29/11/2025 13.44.25","45 - 54","Maschio","Laurea o equivalente (area STEM)"
72,"29/11/2025 13.56.27","65 +","Femmina","Laurea o equivalente (area STEM)"
73,"29/11/2025 14.38.56","25 - 34","Maschio","Laurea o equivalente (area non STEM)"
74,"29/11/2025 15.36.14","25 - 34","Maschio","Diploma di scuola superiore"
75,"29/11/2025 18.09.34","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
76,"29/11/2025 18.15.29","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
77,"29/11/2025 18.55.57","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
78,"29/11/2025 19.00.20","25 - 34","Femmina","Laurea o equivalente (area STEM)"
79,"29/11/2025 19.09.55","45 - 54","Maschio","Diploma di scuola superiore"
80,"29/11/2025 19.14.30","35 - 44","Femmina","Laurea o equivalente (area non STEM)"
81,"29/11/2025 20.01.27","18 - 24","Maschio","Laurea o equivalente (area STEM)"
82,"29/11/2025 20.17.54","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
83,"29/11/2025 20.52.50","18 - 24","Femmina","Diploma di scuola superiore"
84,"29/11/2025 21.00.39","25 - 34","Maschio","Laurea o equivalente (area STEM)"
85,"29/11/2025 21.06.38","18 - 24","Femmina","Diploma di scuola superiore"
86,"29/11/2025 21.54.54","25 - 34","Femmina","Laurea o equivalente (area non STEM)"
87,"29/11/2025 21.56.13","18 - 24","Femmina","Diploma di scuola superiore"
88,"29/11/2025 22.07.33","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
89,"29/11/2025 23.47.39","25 - 34","Femmina","Diploma di scuola superiore"
90,"29/11/2025 23.58.32","25 - 34","Femmina","Laurea o equivalente (area non STEM)"
91,"30/11/2025 0.02.22","18 - 24","Maschio","Laurea o equivalente (area STEM)"
92,"30/11/2025 0.50.44","18 - 24","Femmina","Diploma di scuola superiore"
93,"30/11/2025 7.01.57","18 - 24","Maschio","Laurea o equivalente (area STEM)"
94,"30/11/2025 7.32.58","55 - 64","Femmina","Diploma di scuola superiore"
95,"30/11/2025 7.43.22","65 +","Femmina","Diploma di scuola superiore"
96,"30/11/2025 10.28.26","25 - 34","Femmina","Laurea o equivalente (area non STEM)"
97,"30/11/2025 10.57.04","25 - 34","Femmina","Laurea o equivalente (area STEM)"
98,"30/11/2025 13.04.56","35 - 44","Femmina","Diploma di scuola superiore"
99,"30/11/2025 13.07.46","18 - 24","Maschio","Laurea o equivalente (area STEM)"
100,"30/11/2025 18.21.27","25 - 34","Femmina","Laurea o equivalente (area non STEM)"
101,"30/11/2025 22.58.19","25 - 34","Femmina","Laurea o equivalente (area STEM)"
102,"01/12/2025 11.32.22","35 - 44","Maschio","Diploma di scuola superiore"
103,"01/12/2025 13.05.53","25 - 34","Maschio","Diploma di scuola superiore"
104,"01/12/2025 13.14.04","25 - 34","Maschio","Laurea o equivalente (area STEM)"
105,"01/12/2025 14.52.26","18 - 24","Maschio","Diploma di scuola superiore"
106,"01/12/2025 15.21.38","18 - 24","Maschio","Laurea o equivalente (area STEM)"
107,"01/12/2025 15.26.38","18 - 24","Maschio","Diploma di scuola superiore"
108,"01/12/2025 15.34.53","18 - 24","Maschio","Diploma di scuola superiore"
109,"01/12/2025 17.52.14","25 - 34","Maschio","Laurea o equivalente (area STEM)"
110,"02/12/2025 12.07.24","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
111,"03/12/2025 14.45.59","18 - 24","Maschio","Laurea o equivalente (area STEM)"
