Informazioni cronologiche,A quale fascia d'età appartieni?,Con quale genere ti identifichi?,Qual è il tuo titolo di studio (o che stai conseguendo)?,Specializzazione | Velocità | Qualità | Privacy | Costo (SCELTA 1),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 2),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 3),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 4),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 5),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 6),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 7),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 8),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 9),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 10)
27/11/2025 10.55.17,18 - 24,Femmina,Laurea o equivalente (area non STEM),Assistente - Lento - Ottimale - Bassa - 25€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Assistente - Lento - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
27/11/2025 11.04.43,18 - 24,Femmina,Laurea o equivalente (area STEM),Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
27/11/2025 11.06.47,18 - 24,Maschio,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Sufficiente - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
27/11/2025 11.20.54,18 - 24,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
27/11/2025 11.32.25,18 - 24,Femmina,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
27/11/2025 11.36.11,18 - 24,Maschio,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
27/11/2025 11.42.49,18 - 24,Femmina,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
27/11/2025 11.57.14,18 - 24,Maschio,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
27/11/2025 12.03.00,18 - 24,Femmina,Diploma di scuola superiore,Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Codice - Lento - Sufficiente - Bassa - 20€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
27/11/2025 12.04.36,18 - 24,Femmina,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
27/11/2025 12.14.19,18 - 24,Maschio,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
27/11/2025 13.25.09,18 - 24,Maschio,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
27/11/2025 14.12.50,18 - 24,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
27/11/2025 14.24.39,18 - 24,Maschio,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
27/11/2025 16.27.40,18 - 24,Maschio,Diploma di scuola superiore,Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Codice - Lento - Sufficiente - Bassa - 20€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
27/11/2025 16.52.54,35 - 44,Maschio,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Codice - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Sufficiente - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
27/11/2025 17.39.36,18 - 24,Maschio,Laurea o equivalente (area non STEM),Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Assistente - Lento - Sufficiente - Bassa - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
27/11/2025 18.51.02,18 - 24,Femmina,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
27/11/2025 19.14.56,18 - 24,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Codice - Lento - Sufficiente - Bassa - 20€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 25€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
27/11/2025 21.27.51,18 - 24,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
27/11/2025 21.27.55,18 - 24,Femmina,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
28/11/2025 9.35.10,18 - 24,Maschio,Laurea o equivalente (area non STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Codice - Lento - Sufficiente - Bassa - 20€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
28/11/2025 10.42.07,25 - 34,Maschio,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
28/11/2025 14.12.29,18 - 24,Femmina,Diploma di scuola superiore,Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
28/11/2025 14.18.07,25 - 34,Maschio,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
28/11/2025 16.38.59,55 - 64,Maschio,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Sufficiente - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
28/11/2025 16.40.12,45 - 54,Femmina,Laurea o equivalente (area non STEM),Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Assistente - Lento - Sufficiente - Bassa - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
28/11/2025 18.46.26,25 - 34,Maschio,Laurea o equivalente (area STEM),Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 9.21.39,25 - 34,Maschio,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 9.29.04,18 - 24,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 9.48.49,65 +,Maschio,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Codice - Lento - Sufficiente - Bassa - 20€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 9.54.10,55 - 64,Maschio,Laurea o equivalente (area non STEM),Codice - Lento - Sufficiente - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Lento - Sufficiente - Alta - 25€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
29/11/2025 9.55.15,55 - 64,Femmina,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Assistente - Lento - Sufficiente - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 10.49.54,25 - 34,Maschio,Diploma di scuola superiore,Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 10.56.11,55 - 64,Femmina,Diploma di scuola superiore,Codice - Lento - Sufficiente - Alta - 20€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
29/11/2025 10.59.02,25 - 34,Maschio,Diploma di scuola superiore,Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
