Informazioni cronologiche,A quale fascia d'età appartieni?,Con quale genere ti identifichi?,Qual è il tuo titolo di studio (o che stai conseguendo)?,Specializzazione | Velocità | Qualità | Privacy | Costo (SCELTA 1),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 2),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 3),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 4),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 5),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 6),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 7),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 8),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 9),Specializzazione | Velocità | Qualità | Privacy | Costo  (SCELTA 10)
29/11/2025 11.04.04,55 - 64,Maschio,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 11.25.12,25 - 34,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 11.34.04,18 - 24,Femmina,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 11.46.36,55 - 64,Maschio,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
29/11/2025 13.44.25,45 - 54,Maschio,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
29/11/2025 13.56.27,65 +,Femmina,Laurea o equivalente (area STEM),Assistente - Lento - Ottimale - Bassa - 25€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Codice - Lento - Sufficiente - Bassa - 20€,Codice - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Sufficiente - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 14.38.56,25 - 34,Maschio,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 15.36.14,25 - 34,Maschio,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Sufficiente - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 18.05.55,25 - 34,Maschio,Laurea o equivalente (area non STEM),Assistente - Lento - Ottimale - Bassa - 25€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Codice - Lento - Sufficiente - Bassa - 20€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 25€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 18.09.34,18 - 24,Femmina,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 18.15.29,18 - 24,Maschio,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 18.55.57,18 - 24,Femmina,Laurea o equivalente (area non STEM),Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 19.00.20,25 - 34,Femmina,Laurea o equivalente (area STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
29/11/2025 19.09.55,45 - 54,Maschio,Diploma di scuola superiore,Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
29/11/2025 19.14.30,35 - 44,Femmina,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Sufficiente - Bassa - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
29/11/2025 20.01.27,18 - 24,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 20.17.54,18 - 24,Femmina,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 20.52.50,18 - 24,Femmina,Diploma di scuola superiore,Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Assistente - Lento - Sufficiente - Bassa - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 21.00.39,25 - 34,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
29/11/2025 21.06.38,18 - 24,Femmina,Diploma di scuola superiore,Codice - Lento - Sufficiente - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 21.13.39,18 - 24,Femmina,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Lento - Sufficiente - Alta - 25€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
29/11/2025 21.54.54,25 - 34,Femmina,Laurea o equivalente (area non STEM),Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 21.56.13,18 - 24,Femmina,Diploma di scuola superiore,Assistente - Lento - Ottimale - Bassa - 25€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 22.07.33,18 - 24,Maschio,Laurea o equivalente (area non STEM),Codice - Lento - Sufficiente - Alta - 20€,Assistente - Veloce - Ottimale - Bassa - 20€,Codice - Lento - Sufficiente - Bassa - 20€,Codice - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Sufficiente - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 25€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 23.47.39,25 - 34,Femmina,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Assistente - Lento - Sufficiente - Alta - 20€,Assistente - Lento - Sufficiente - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
29/11/2025 23.58.32,25 - 34,Femmina,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Assistente - Lento - Sufficiente - Alta - 20€,Assistente - Lento - Sufficiente - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Assistente - Lento - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
30/11/2025 0.02.22,18 - 24,Maschio,Laurea o equivalente (area STEM),Assistente - Lento - Ottimale - Bassa - 25€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Assistente - Lento - Sufficiente - Bassa - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€
30/11/2025 0.50.44,18 - 24,Femmina,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Prod. di contenuti - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
30/11/2025 7.01.57,18 - 24,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
30/11/2025 7.32.58,55 - 64,Femmina,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
30/11/2025 7.43.22,65 +,Femmina,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Ottimale - Bassa - 25€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Ottimale - Alta - 20€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
30/11/2025 10.28.26,25 - 34,Femmina,Laurea o equivalente (area non STEM),Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Sufficiente - Bassa - 25€,Assistente - Veloce - Sufficiente - Bassa - 15€
30/11/2025 10.44.30,25 - 34,Femmina,Laurea o equivalente (area non STEM),Assistente - Lento - Ottimale - Bassa - 25€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 25€,Assistente - Veloce - Sufficiente - Alta - 25€,Assistente - Lento - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
30/11/2025 10.57.04,25 - 34,Femmina,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Codice - Lento - Sufficiente - Alta - 15€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Ottimale - Alta - 25€,Codice - Veloce - Ottimale - Alta - 20€,Assistente - Veloce - Sufficiente - Alta - 25€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 25€
30/11/2025 13.04.56,35 - 44,Femmina,Diploma di scuola superiore,Prod. di contenuti - Veloce - Ottimale - Bassa - 15€,Assistente - Veloce - Ottimale - Bassa - 20€,Codice - Lento - Sufficiente - Bassa - 20€,Codice - Veloce - Sufficiente - Bassa - 15€,Codice - Veloce - Ottimale - Alta - 20€,Codice - Lento - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Assistente - Veloce - Sufficiente - Bassa - 15€,Prod. di contenuti - Lento - Sufficiente - Alta - 15€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€
30/11/2025 13.07.46,18 - 24,Maschio,Laurea o equivalente (area STEM),Codice - Lento - Sufficiente - Alta - 20€,Assistente - Veloce - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Alta - 15€,Codice - Veloce - Sufficiente - Bassa - 15€,Assistente - Lento - Sufficiente - Bassa - 15€,Codice - Lento - Ottimale - Bassa - 15€,Prod. di contenuti - Veloce - Sufficiente - Alta - 20€,Codice - Veloce - Ottimale - Alta - 25€,Assistente - Lento - Ottimale - Bassa - 20€,Prod. di contenuti - Lento - Ottimale - Bassa - 20€